u6,518,8.93359.69,-0.75,-2.63
u0,20651,356.05
i359.69,-0.75,-2.63
u1,1766,30.45
i359.69,-0.75,-2.63
69,-0.75,-2.63
u7,18910,326.03
i359.69,-0.75,-2.63
u0,20651,356.05
i359.69,-0.75,-2.63
u1,1766,30.45
i359.69,-0.75,-2.63
u0,0,0.00
i360.00,-0.44,-2.75
u1,5,0.09
i360.00,-0.44,-2.75
u2,1067,18.40
i360.00,-0.44,-2.75
u3,305,5.26
i360.00,-0.44,-2.75
u4,2584,44.55
i360.00,-0.44,-2.75
u5,1564,26.97
i360.00,-0.44,-2.75
u6,17866,308.03
i360.00,-0.44,-2.75
u7,18890,325.69
i359.94,-0.44,-2.75
u0,20702,356.93
i359.94,-0.44,-2.75
u1,410,7.07
i359.94,-0.44,-2.75
u2,1114,19.21
i359.94,-0.44,-2.75
u3,427,7.36
i359.94,-0.44,-2.75
u4,5377,92.71
i359.94,-0.44,-2.75
u5,1580,27.24
i359.94,-0.44,-2.75
u6,17990,310.17
i359.94,-0.44,-2.75
u7,18914,326.10
i359.94,-0.44,-2.75
u0,20633,355.74
i359.94,-0.44,-2.75
u1,1766,30.45
i359.94,-0.44,-2.75
u2,1111,19.16
i359.94,-0.44,-2.75
u3,380,6.55
i359.94,-0.44,-2.75
u4,6364,109.72
i359.94,-0.44,-2.75
u5,1579,27.22
i359.94,-0.44,-2.75
u6,17809,307.05
i359.94,-0.44,-2.75
u7,18832,324.69
i359.94,-0.44,-2.75
u0,20752,357.79
i359.94,-0.44,-2.75
u1,1766,30.45
i359.94,-0.44,-2.75
u2,1117,19.26
i359.94,-0.50,-2.75
u3,634,10.93
i0.00,-0.50,-2.75
u4,6139,105.84
i0.00,-0.50,-2.75
u5,1550,26.72
i0.00,-0.50,-2.75
u6,17807,307.02
i0.00,-0.50,-2.75
u7,18826,324.59
i0.00,-0.50,-2.75
u0,20665,356.29
i0.00,-0.50,-2.75
u1,1763,30.40
i0.00,-0.50,-2.75
u2,1132,19.52
i0.00,-0.50,-2.75
u3,368,6.34
i0.06,-0.50,-2.81
u4,6898,118.93
i0.13,-0.50,-2.81
u5,1544,26.62
i0.25,-0.50,-2.81
u6,17794,306.79
i0.25,-0.50,-2.88
u7,18842,324.86
i0.13,-0.44,-2.88
u0,20564,354.55
i0.13,-0.44,-2.88
u1,1769,30.50
i0.25,-0.50,-2.94
u2,1228,21.17
i0.25,-0.50,-2.94
u3,374,6.45
i0.25,-0.50,-2.94
u4,5990,103.28
i0.25,-0.50,-2.94
u5,1541,26.57
i0.31,-0.50,-2.94
u6,17621,303.81
i0.13,-0.50,-2.94
u7,18644,321.45
i0.13,-0.50,-3.00
u0,20503,353.50
i0.13,-0.50,-3.00
u1,1766,30.45
i0.13,-0.50,-3.00
u2,1346,23.21
i0.19,-0.56,-3.06
u3,397,6.84
i0.13,-0.50,-3.06
u4,4774,82.31
i0.13,-0.50,-3.06
u5,1547,26.67
i0.13,-0.56,-3.06
u6,17656,304.41
i0.19,-0.56,-3.06
u7,18418,317.55
i0.06,-0.56,-3.06
u0,20297,349.95
i0.00,-0.56,-3.13
u1,1772,30.55
i0.00,-0.56,-3.13
u2,2827,48.74
i359.88,-0.56,-3.13
u3,391,6.74
i359.88,-0.56,-3.13
u4,7418,127.90
i359.88,-0.56,-3.13
u5,1541,26.57
i359.88,-0.56,-3.19
u6,17183,296.26
i359.88,-0.56,-3.19
u7,18179,313.43
i359.75,-0.56,-3.19
u0,20084,346.28
i359.75,-0.56,-3.19
u1,1778,30.66
i359.75,-0.56,-3.25
u2,3350,57.76
i359.75,-0.56,-3.25
u3,371,6.40
i359.81,-0.56,-3.25
u4,5453,94.02
i359.88,-0.56,-3.31
u5,1538,26.52
i359.88,-0.56,-3.31
u6,16964,292.48
i359.88,-0.50,-3.31
u7,17911,308.81
i359.88,-0.50,-3.31
u0,19867,342.53
i359.88,-0.56,-3.31
u1,1777,30.64
i359.81,-0.56,-3.31
u2,3451,59.50
i359.81,-0.56,-3.31
u3,257,4.43
i359.81,-0.50,-3.25
u4,7156,123.38
i359.81,-0.50,-3.25
u5,1553,26.78
i359.81,-0.50,-3.25
u6,16834,290.24
i359.75,-0.50,-3.31
u7,17714,305.41
i359.81,-0.50,-3.31
u0,19685,339.40
i359.88,-0.50,-3.44
u1,1775,30.60
i359.81,-0.50,-3.44
u2,3502,60.38
i359.75,-0.50,-3.50
u3,260,4.48
i359.75,-0.50,-3.50
u4,553,9.53
i359.69,-0.50,-3.50
u5,1577,27.19
i359.56,-0.50,-3.50
u6,16507,284.60
i359.31,-0.50,-3.50
u7,17440,300.69
i359.38,-0.50,-3.56
u0,19553,337.12
i359.31,-0.50,-3.56
u1,1784,30.76
i359.44,-0.50,-3.56
u2,3757,64.78
i359.56,-0.50,-3.56
u3,314,5.41
i359.56,-0.50,-3.56
u4,6104,105.24
i359.56,-0.44,-3.50
u5,1598,27.55
i359.56,-0.38,-3.44
u6,16216,279.59
i359.56,-0.31,-3.50
u7,17084,294.55
i359.56,-0.38,-3.50
u0,19303,332.81
i359.63,-0.38,-3.50
u1,1781,30.71
i359.69,-0.38,-3.56
u2,5602,96.59
i359.63,-0.38,-3.56
u3,406,7.00
i359.63,-0.38,-3.56
u4,0,0.00
i359.69,-0.38,-3.63
u5,1588,27.38
i359.88,-0.38,-3.63
u6,15895,274.05
i359.88,-0.38,-3.63
u7,16696,287.86
i359.44,-0.44,-3.63
u0,19018,327.90
i359.19,-0.38,-3.63
u1,1766,30.45
i359.13,-0.38,-3.63
u2,4532,78.14
i359.19,-0.38,-3.56
u3,599,10.33
i359.31,-0.31,-3.56
u4,4846,83.55
i359.50,-0.31,-3.50
u5,1591,27.43
i359.44,-0.31,-3.56
u6,15625,269.40
i359.38,-0.31,-3.56
u7,16294,280.93
i359.25,-0.38,-3.56
u0,18763,323.50
i359.13,-0.31,-3.56
u1,1781,30.71
i359.13,-0.38,-3.56
u2,3707,63.91
i359.19,-0.38,-3.50
u3,421,7.26
i359.13,-0.38,-3.50
u4,4978,85.83
i359.13,-0.38,-3.50
u5,1609,27.74
i359.06,-0.38,-3.50
u6,6748,116.34
i359.00,-0.38,-3.50
u7,15908,274.28
i359.00,-0.38,-3.50
u0,18428,317.72
i359.00,-0.44,-3.50
u1,1781,30.71
i359.00,-0.44,-3.44
u2,2777,47.88
i359.06,-0.50,-3.44
u3,436,7.52
i359.06,-0.50,-3.44
u4,4988,86.00
i358.94,-0.56,-3.44
u5,1580,27.24
i358.94,-0.56,-3.38
u6,6826,117.69
i358.94,-0.56,-3.31
u7,15328,264.28
i359.00,-0.56,-3.31
u0,11729,202.22
i359.00,-0.50,-3.19
u1,1757,30.29
i358.94,-0.50,-3.19
u2,3235,55.78
i358.94,-0.50,-3.25
u3,305,5.26
i358.94,-0.50,-3.31
u4,5024,86.62
i358.88,-0.56,-3.38
u5,1583,27.29
i358.88,-0.56,-3.38
u6,14461,249.33
i358.94,-0.56,-3.31
u7,14933,257.47
i358.88,-0.56,-3.31
u0,17770,306.38
i358.81,-0.56,-3.31
u1,1754,30.24
