.69
2.13
u4,5173,89.19
i32.13,0.00,-2.13
883,32.47
i32.13,0.00,-2.13
u2,4424,76.28
i32.13,0.00,-2.13
u3,0,0.00
i32.13,0.00,-2.13
u4,5173,89.19
i32.13,0.00,-2.13
u0,0,0.00
i359.94,-0.44,-3.06
u1,5,0.09
i359.94,-0.44,-3.06
u2,503,8.67
i359.94,-0.44,-3.06
u3,305,5.26
i359.94,-0.44,-3.06
u4,610,10.52
i359.94,-0.44,-3.06
u5,1799,31.02
i359.94,-0.44,-3.06
u6,19654,338.86
i359.94,-0.44,-3.06
u7,21046,362.86
i359.94,-0.44,-3.06
u0,0,0.00
i359.88,-0.44,-3.06
u1,412,7.10
i359.94,-0.44,-3.19
u2,3728,64.28
i359.94,-0.44,-3.25
u3,3601,62.09
i359.94,-0.44,-3.25
u4,2935,50.60
i0.00,-0.44,-3.19
u5,1859,32.05
i359.94,-0.44,-3.19
u6,19625,338.36
i359.94,-0.44,-3.19
u7,21067,363.22
i359.94,-0.44,-3.19
u0,0,0.00
i359.81,-0.44,-3.19
u1,1901,32.78
i359.94,-0.44,-3.19
u2,3845,66.29
i359.94,-0.44,-3.19
u3,0,0.00
i359.94,-0.44,-3.19
u4,6994,120.59
i359.94,-0.44,-3.19
u5,1862,32.10
i359.88,-0.44,-3.19
u6,19661,338.98
i359.94,-0.44,-3.19
u7,21100,363.79
i0.13,-0.44,-3.19
u0,0,0.00
i0.00,-0.44,-3.19
u1,1877,32.36
i359.94,-0.44,-3.19
u2,4658,80.31
i0.00,-0.44,-3.25
u3,3599,62.05
i0.00,-0.44,-3.38
u4,10540,181.72
i359.94,-0.44,-3.56
u5,1871,32.26
i359.88,-0.44,-3.69
u6,19529,336.71
i359.88,-0.44,-3.69
u7,20921,360.71
i359.81,-0.44,-3.69
u0,0,0.00
i359.81,-0.44,-3.69
u1,1885,32.50
i359.88,-0.44,-3.69
u2,3709,63.95
i359.94,-0.44,-3.69
u3,0,0.00
i359.88,-0.38,-3.75
u4,10912,188.14
i359.88,-0.38,-3.81
u5,1861,32.09
i359.81,-0.31,-3.75
u6,0,0.00
i359.75,-0.31,-3.81
u7,20590,355.00
i359.75,-0.31,-3.94
u0,0,0.00
i359.75,-0.31,-4.00
u1,1895,32.67
i359.75,-0.31,-4.00
u2,4111,70.88
i359.69,-0.31,-4.06
u3,0,0.00
i359.69,-0.31,-4.13
u4,11042,190.38
i359.56,-0.31,-4.19
u5,1870,32.24
i359.44,-0.31,-4.25
u6,18907,325.98
i359.25,-0.31,-4.38
u7,20132,347.10
i359.00,-0.31,-4.44
u0,21622,372.79
i358.81,-0.31,-4.44
u1,1931,33.29
i358.44,-0.31,-4.44
u2,2963,51.09
i358.31,-0.25,-4.44
u3,1076,18.55
i358.31,-0.31,-4.31
