u5,2132,36.76
i269.19,0.06,-3.19
38,-3.38
u2,4060,70.00
i269.13,-0.31,-3.38
0
i269.13,-0.38,-3.44
u0,0,0.00
i269.13,-0.38,-3.38
u1,1786,30.79
i269.13,-0.38,-3.38
u2,4060,70.00
i269.13,-0.31,-3.38
u0,0,0.00
i360.00,-0.19,-3.31
u1,5,0.09
i360.00,-0.19,-3.31
u2,506,8.72
i360.00,-0.19,-3.31
u3,329,5.67
i360.00,-0.19,-3.31
u4,488,8.41
i360.00,-0.19,-3.31
u5,1447,24.95
i360.00,-0.19,-3.31
u6,0,0.00
i360.00,-0.19,-3.31
u7,0,0.00
i360.00,-0.19,-3.31
u0,0,0.00
i360.00,-0.19,-3.31
u1,406,7.00
i360.00,-0.19,-3.31
u2,839,14.47
i360.00,-0.19,-3.31
u3,0,0.00
i360.00,-0.19,-3.31
u4,17050,293.97
i360.00,-0.19,-3.31
u5,1487,25.64
i360.00,-0.19,-3.31
u6,0,0.00
i360.00,-0.19,-3.31
u7,0,0.00
i360.00,-0.19,-3.31
u0,0,0.00
i360.00,-0.19,-3.31
u1,1790,30.86
i360.00,-0.19,-3.31
u2,815,14.05
i360.00,-0.19,-3.31
u3,0,0.00
i360.00,-0.19,-3.31
u4,17050,293.97
i360.00,-0.19,-3.31
u5,1489,25.67
i360.00,-0.19,-3.31
u6,0,0.00
i360.00,-0.19,-3.31
u7,0,0.00
i360.00,-0.19,-3.31
u0,0,0.00
i360.00,-0.19,-3.31
u1,1766,30.45
i360.00,-0.19,-3.31
u2,887,15.29
i360.00,-0.19,-3.31
u3,16156,278.55
i360.00,-0.19,-3.31
u4,17027,293.57
i360.00,-0.19,-3.31
u5,1529,26.36
i360.00,-0.19,-3.31
u6,0,0.00
i360.00,-0.19,-3.31
u7,0,0.00
i360.00,-0.19,-3.31
u0,0,0.00
i360.00,-0.19,-3.31
u1,1766,30.45
i360.00,-0.19,-3.31
u2,947,16.33
i360.00,-0.19,-3.31
u3,398,6.86
i360.00,-0.19,-3.31
u4,4502,77.62
i360.00,-0.19,-3.31
u5,1501,25.88
i359.94,-0.19,-3.31
u6,0,0.00
i359.94,-0.19,-3.31
u7,0,0.00
i0.06,-0.19,-3.38
u0,0,0.00
i0.00,-0.19,-3.38
u1,1766,30.45
i359.81,-0.19,-3.44
u2,1727,29.78
i0.00,-0.19,-3.44
u3,0,0.00
i359.94,-0.19,-3.44
u4,5437,93.74
i359.88,-0.25,-3.44
u5,1508,26.00
i359.94,-0.25,-3.56
u6,0,0.00
i0.00,-0.25,-3.56
u7,0,0.00
i359.88,-0.31,-3.56
u0,0,0.00
i359.88,-0.31,-3.56
u1,1745,30.09
i359.88,-0.31,-3.63
u2,2960,51.03
i359.88,-0.31,-3.63
u3,0,0.00
i359.88,-0.31,-3.56
u4,340,5.86
i359.69,-0.31,-3.56
u5,1528,26.34
i359.63,-0.38,-3.63
u6,0,0.00
i359.63,-0.38,-3.63
u7,0,0.00
i359.63,-0.38,-3.56
u0,0,0.00
i359.63,-0.38,-3.56
u1,1760,30.34
i359.63,-0.38,-3.63
u2,3380,58.28
i359.56,-0.38,-3.63
u3,0,0.00
i359.44,-0.38,-3.63
u4,0,0.00
